p,r,f,k
0.36363636363636365,0.5,0.4210526315789474,7
0.45652173913043476,0.5384615384615384,0.49411764705882355,7
0.358974358974359,0.4,0.37837837837837845,7
0.4444444444444444,0.6060606060606061,0.5128205128205128,7
0.4523809523809524,0.5,0.47500000000000003,7
0.42857142857142855,0.5675675675675675,0.4883720930232558,7
0.43478260869565216,0.5882352941176471,0.5,7
0.5853658536585366,0.5714285714285714,0.5783132530120483,7
0.5102040816326531,0.5952380952380952,0.5494505494505494,7
0.3076923076923077,0.3870967741935484,0.34285714285714286,7
0.425,0.5483870967741935,0.47887323943661964,7
0.4418604651162791,0.5588235294117647,0.49350649350649345,7
0.44,0.55,0.48888888888888893,7
0.4186046511627907,0.5142857142857142,0.4615384615384615,7
0.5111111111111111,0.575,0.5411764705882353,7
0.5476190476190477,0.575,0.5609756097560975,7
0.3902439024390244,0.48484848484848486,0.4324324324324324,7
0.3225806451612903,0.3448275862068966,0.33333333333333337,7
0.4186046511627907,0.5625,0.48,7
0.5283018867924528,0.6666666666666666,0.5894736842105263,7
0.4166666666666667,0.5882352941176471,0.48780487804878053,7
0.41025641025641024,0.5333333333333333,0.463768115942029,7
0.3548387096774194,0.3142857142857143,0.3333333333333333,7
0.38235294117647056,0.4482758620689655,0.41269841269841273,7
0.4418604651162791,0.5757575757575758,0.5,7
0.32558139534883723,0.5185185185185185,0.4,7
0.5294117647058824,0.627906976744186,0.5744680851063829,7
0.4358974358974359,0.4722222222222222,0.45333333333333337,7
0.44,0.6285714285714286,0.5176470588235295,7
0.5,0.575,0.5348837209302325,7
0.4772727272727273,0.5675675675675675,0.5185185185185185,7
0.3902439024390244,0.48484848484848486,0.4324324324324324,7
0.475,0.5277777777777778,0.5,7
0.4634146341463415,0.5588235294117647,0.5066666666666667,7
0.47058823529411764,0.5,0.48484848484848486,7
0.43243243243243246,0.41025641025641024,0.42105263157894735,7
0.574468085106383,0.6,0.5869565217391305,7
0.40476190476190477,0.5483870967741935,0.4657534246575342,7
0.5476190476190477,0.6216216216216216,0.5822784810126581,7
0.42105263157894735,0.5,0.45714285714285713,7
0.5106382978723404,0.6486486486486487,0.5714285714285715,7
0.5,0.5555555555555556,0.5263157894736842,7
0.5128205128205128,0.5128205128205128,0.5128205128205128,7
0.42105263157894735,0.48484848484848486,0.4507042253521127,7
0.42105263157894735,0.3902439024390244,0.4050632911392405,8
0.24,0.1935483870967742,0.21428571428571427,8
0.4418604651162791,0.4418604651162791,0.4418604651162791,8
0.358974358974359,0.3888888888888889,0.3733333333333333,8
0.42424242424242425,0.4375,0.43076923076923074,8
0.525,0.5384615384615384,0.5316455696202531,8
0.5,0.4864864864864865,0.4931506849315069,8
0.3103448275862069,0.2903225806451613,0.30000000000000004,8
0.5675675675675675,0.525,0.5454545454545455,8
0.43243243243243246,0.4444444444444444,0.4383561643835616,8
0.4418604651162791,0.5428571428571428,0.48717948717948717,8
0.42105263157894735,0.5161290322580645,0.46376811594202894,8
0.4375,0.3888888888888889,0.411764705882353,8
0.3684210526315789,0.42424242424242425,0.3943661971830986,8
0.39285714285714285,0.34375,0.3666666666666667,8
0.42857142857142855,0.3870967741935484,0.4067796610169491,8
0.5357142857142857,0.40540540540540543,0.46153846153846156,8
0.48484848484848486,0.4444444444444444,0.463768115942029,8
0.3225806451612903,0.29411764705882354,0.3076923076923077,8
0.36666666666666664,0.34375,0.3548387096774193,8
0.4864864864864865,0.5,0.4931506849315069,8
0.36585365853658536,0.4411764705882353,0.4,8
0.34375,0.3055555555555556,0.3235294117647059,8
0.575,0.5897435897435898,0.5822784810126582,8
0.4117647058823529,0.4117647058823529,0.4117647058823529,8
0.5,0.43902439024390244,0.4675324675324676,8
0.38235294117647056,0.3939393939393939,0.38805970149253727,8
0.3448275862068966,0.3448275862068966,0.3448275862068966,8
0.3076923076923077,0.25,0.27586206896551724,8
0.3125,0.3225806451612903,0.3174603174603175,8
0.5517241379310345,0.38095238095238093,0.4507042253521127,8
0.40625,0.38235294117647056,0.393939393939394,8
0.3793103448275862,0.36666666666666664,0.3728813559322034,8
0.43478260869565216,0.625,0.5128205128205128,8
